Column1,Column2,Column3
625,196,0
576,100,0
2809,256,0
324,400,0
1,225,0
1369,16,0
1936,4,0
16,64,0
169,64,0
256,81,0
0,196,0
900,289,0
16,81,0
900,49,0
64,169,0
256,144,0
144,25,0
1225,36,0
49,169,0
16,121,0
400,16,0
625,49,0
0,169,0
9,81,0
1156,36,0
784,144,0
49,196,0
529,81,0
2025,100,0
676,225,0
4,225,0
361,81,0
529,100,0
169,225,0
441,121,0
169,36,0
400,144,0
121,225,0
81,100,0
529,36,0
400,121,0
4,144,0
729,64,0
2704,36,0
576,169,0
9,256,0
484,81,0
1296,100,0
9,225,0
324,169,0
121,49,0
36,144,0
900,289,0
400,121,0
400,16,0
81,81,0
529,196,0
1,121,0
1296,100,0
576,225,0
9,196,0
441,49,0
1089,64,0
16,169,0
25,100,0
484,1,0
784,25,0
0,121,0
4,64,0
1936,9,0
2209,16,0
225,25,0
324,36,0
1369,121,0
324,400,0
16,361,0
81,144,0
256,169,0
324,289,0
784,169,0
100,49,0
441,100,0
144,121,0
169,16,0
576,9,0
529,144,0
0,225,0
400,81,0
2209,64,0
576,225,0
0,289,0
256,144,0
529,196,0
25,361,0
121,196,0
361,64,0
289,196,0
361,361,0
81,169,0
841,16,0
784,49,0
9,64,0
144,16,0
841,25,0
64,144,0
169,169,0
25,49,0
256,64,0
49,169,0
36,121,0
1369,9,0
2116,9,0
49,81,0
4,100,0
1444,100,0
1764,196,0
81,225,0
64,121,0
441,144,0
64,289,0
961,225,0
4,81,0
576,64,0
9,169,0
196,121,0
441,49,0
841,121,0
1,256,0
1,100,0
841,25,0
529,100,0
9,169,0
400,36,0
1764,16,0
324,121,0
9,121,0
361,36,0
841,121,0
0,324,0
81,225,0
361,100,0
400,144,0
196,196,0
169,81,0
400,36,0
225,121,0
225,121,0
64,36,0
324,49,0
81,169,0
1,144,0
1296,16,0
2704,25,0
144,169,0
9,225,0
1089,64,0
1521,49,0
36,196,0
100,169,0
361,121,0
4,256,0
529,324,0
16,169,0
1024,81,0
4,169,0
361,196,0
144,100,0
841,121,0
0,225,0
36,196,0
484,100,0
484,81,0
1,144,0
144,81,0
1521,25,0
324,25,0
25,25,0
361,9,0
1764,25,0
361,144,0
9,225,0
676,144,0
729,144,0
9,225,0
1,196,0
625,121,0
169,144,0
529,196,0
400,64,0
144,9,0
196,64,0
9,169,0
529,100,0
1296,49,0
169,121,0
49,225,0
1600,81,0
2025,36,0
9,196,0
81,225,0
169,100,0
1,121,0
676,324,0
49,289,0
676,121,0
64,169,0
256,289,0
49,144,0
841,36,0
25,81,0
25,100,0
484,25,0
1024,25,0
100,144,0
25,196,0
576,36,0
361,25,0
1,144,0
225,144,0
1849,16,0
1225,9,0
289,121,0
484,169,0
676,81,0
0,81,0
100,121,0
121,49,0
169,49,0
256,169,0
289,256,0
196,121,0
196,121,0
169,225,0
9,169,0
676,64,0
361,100,0
16,196,0
576,121,0
1444,49,0
144,100,0
4,144,0
1089,36,0
1764,25,0
4,169,0
121,256,0
81,169,0
4,196,0
1225,361,0
196,289,0
676,100,0
324,81,0
4,100,0
256,49,0
1089,36,0
4,144,0
441,144,0
64,64,0
784,64,0
9,169,0
16,144,0
2401,25,0
3025,16,0
144,100,0
25,100,0
1296,36,0
841,64,0
4,144,0
16,144,0
324,121,0
100,256,0
841,361,0
9,169,0
729,64,0
16,121,0
16,121,0
441,64,0
361,81,0
36,196,0
9,144,0
900,64,0
196,100,0
169,81,0
64,9,0
1444,16,0
324,144,0
9,256,0
784,144,0
1225,144,0
0,225,0
49,196,0
625,81,0
256,121,0
576,225,0
196,121,0
529,16,0
196,25,0
64,100,0
100,81,0
1225,81,0
196,169,0
16,169,0
400,64,0
1225,64,0
9,196,0
1,169,0
1849,25,0
3025,25,0
144,121,0
0,144,0
441,144,0
4,289,0
1444,289,0
121,121,0
841,49,0
49,121,0
400,169,0
64,81,0
1089,81,0
64,196,0
9,121,0
529,25,0
900,49,0
1,144,0
0,100,0
729,49,0
625,100,0
16,196,0
289,100,0
1764,64,0
900,121,0
81,121,0
361,36,0
576,64,0
4,225,0
121,196,0
225,81,0
225,100,0
484,169,0
400,81,0
324,36,0
441,121,0
9,225,0
9,100,0
784,64,0
256,196,0
4,169,0
676,49,0
1600,36,0
64,169,0
36,196,0
625,25,0
1521,25,0
16,144,0
16,169,0
289,100,0
9,225,0
841,324,0
81,144,0
729,49,0
121,144,0
225,256,0
25,121,0
841,81,0
81,144,0
16,100,0
361,25,0
729,49,0
4,196,0
9,144,0
1764,25,0
2304,25,0
225,100,0
121,81,0
1156,36,0
676,81,0
9,144,0
144,100,0
361,144,0
144,324,0
576,256,0
49,121,0
324,121,0
100,225,0
144,121,0
361,49,0
441,121,0
1,169,0
25,25,0
784,1,0
289,121,0
4,225,0
576,81,0
1600,36,0
144,196,0
36,256,0
289,100,0
729,144,0
1,289,0
25,121,0
289,4,0
4,36,0
784,196,0
64,169,0
841,121,0
529,256,0
9,256,0
196,64,0
676,49,0
49,144,0
16,121,0
361,25,0
900,49,0
36,169,0
16,121,0
1681,16,0
2116,16,0
121,121,0
36,144,0
361,169,0
9,361,0
784,400,0
1,144,0
576,49,0
4,121,0
144,100,0
256,16,0
900,36,0
25,169,0
0,121,0
576,36,0
484,100,0
1,225,0
49,100,0
961,49,0
324,121,0
1,169,0
361,64,0
1156,64,0
144,225,0
0,169,0
361,64,0
400,100,0
81,256,0
49,196,0
676,64,0
484,121,0
49,196,0
4,64,0
841,49,0
225,121,0
49,144,0
121,49,0
729,49,0
1,121,0
36,121,0
1369,36,0
2116,25,0
0,121,0
81,144,0
1156,64,0
1444,64,0
0,144,0
4,169,0
400,144,0
225,225,0
1849,256,0
4,196,0
784,121,0
4,169,0
196,144,0
441,100,0
676,100,0
25,169,0
0,121,0
1024,49,0
400,64,0
25,144,0
225,121,0
1936,49,0
841,36,0
81,81,0
676,49,0
900,16,0
1,36,0
9,121,0
625,121,0
400,169,0
225,256,0
144,225,0
441,81,0
225,121,0
49,225,0
0,121,0
324,4,0
